feedstock,product,max_yield
formate,lactate,0.5
formate,biomass,0.476
formate,PHB,0.444
formate,ethanol,0.333
acetate,lactate,1.0
acetate,biomass,0.952
acetate,PHB,0.889
acetate,ethanol,0.667
glucose,lactate,1.0
glucose,biomass,0.952
glucose,PHB,0.889
glucose,ethanol,0.667
glycerol,lactate,1.0
glycerol,biomass,1.0
glycerol,PHB,1.0
glycerol,ethanol,0.778
methanol,lactate,1.0
methanol,biomass,1.0
methanol,PHB,1.0
methanol,ethanol,1.0
methane,lactate,1.0
methane,biomass,1.0
methane,PHB,1.0
methane,ethanol,1.0
